,product_id,composition,fit,product_safety,size,sustainable,product_name,product_price,color_name,style_id,color_id,scrapy_datetime
0,0690449051,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",39.99,Gray,0690449,051,2021-10-09 11:57:22
0,0690449001,"Cotton 99%, Elastane 1%",Skinny fit,,,,"
							  Skinny Jeans",16.99,Light denim blue/trashed,0690449,001,2021-10-09 11:57:22
0,0690449002,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",14.99,Denim blue,0690449,002,2021-10-09 11:57:22
0,0690449006,Cotton 100%,Skinny fit,,,,"
							  Skinny Jeans",7.99,Black/washed,0690449,006,2021-10-09 11:57:22
1,0690449006,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",7.99,Black/washed,0690449,006,2021-10-09 11:57:22
0,0690449007,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",14.99,Light denim blue,0690449,007,2021-10-09 11:57:22
1,0690449007,Cotton 100%,Skinny fit,,,,"
							  Skinny Jeans",14.99,Light denim blue,0690449,007,2021-10-09 11:57:22
0,0690449009,"Cotton 99%, Elastane 1%",Skinny fit,,,,"
							  Skinny Jeans",19.99,Black washed out,0690449,009,2021-10-09 11:57:22
0,0690449011,"Cotton 99%, Elastane 1%",Skinny fit,,,,"
							  Skinny Jeans",19.99,White,0690449,011,2021-10-09 11:57:22
0,0690449013,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",27.99,Black/washed,0690449,013,2021-10-09 11:57:22
1,0690449013,Polyester 100%,Skinny fit,,,,"
							  Skinny Jeans",27.99,Black/washed,0690449,013,2021-10-09 11:57:22
0,0690449021,Polyester 100%,Skinny fit,,,,"
							  Skinny Jeans",25.99,Dark denim blue/trashed,0690449,021,2021-10-09 11:57:22
1,0690449021,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",25.99,Dark denim blue/trashed,0690449,021,2021-10-09 11:57:22
0,0690449022,Polyester 100%,Skinny fit,,"The model is 184cm/6'0"" and wears a size 31/32",,"
							  Skinny Jeans",39.99,Black/trashed,0690449,022,2021-10-09 11:57:22
1,0690449022,"Cotton 98%, Elastane 2%",Skinny fit,,"The model is 184cm/6'0"" and wears a size 31/32",,"
							  Skinny Jeans",39.99,Black/trashed,0690449,022,2021-10-09 11:57:22
0,0690449024,Polyester 100%,Skinny fit,,,,"
							  Skinny Jeans",20.99,Dark blue/Trashed,0690449,024,2021-10-09 11:57:22
1,0690449024,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",20.99,Dark blue/Trashed,0690449,024,2021-10-09 11:57:22
0,0690449028,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",19.99,Dark blue/washed out,0690449,028,2021-10-09 11:57:22
0,0690449035,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",21.99,Denim blue/trashed,0690449,035,2021-10-09 11:57:22
0,0690449036,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",39.99,Black,0690449,036,2021-10-09 11:57:22
0,0690449040,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",29.99,Denim gray,0690449,040,2021-10-09 11:57:22
1,0690449040,"Polyester 65%, Cotton 35%",Skinny fit,,,,"
							  Skinny Jeans",29.99,Denim gray,0690449,040,2021-10-09 11:57:22
0,0690449043,"Cotton 98%, Elastane 2%",Skinny fit,,"The model is 187cm/6'2"" and wears a size 32/32",,"
							  Skinny Jeans",39.99,Light denim blue/trashed,0690449,043,2021-10-09 11:57:22
1,0690449043,"Polyester 65%, Cotton 35%",Skinny fit,,"The model is 187cm/6'2"" and wears a size 32/32",,"
							  Skinny Jeans",39.99,Light denim blue/trashed,0690449,043,2021-10-09 11:57:22
0,0690449046,"Cotton 98%, Elastane 2%",Skinny fit,,,,"
							  Skinny Jeans",39.99,Light denim gray/Trashed,0690449,046,2021-10-09 11:57:22
0,0985197005,"Cotton 99%, Elastane 1%",Slim fit,,,,"
							  Slim Jeans",19.99,Dark denim blue,0985197,005,2021-10-09 11:57:22
1,0985197005,"Polyester 65%, Cotton 35%",Slim fit,,,,"
							  Slim Jeans",19.99,Dark denim blue,0985197,005,2021-10-09 11:57:22
0,0985197001,Cotton 100%,Slim fit,,"The model is 189cm/6'2"" and wears a size 32/32",,"
							  Slim Jeans",19.99,Black,0985197,001,2021-10-09 11:57:22
1,0985197001,"Cotton 98%, Elastane 2%",Slim fit,,"The model is 189cm/6'2"" and wears a size 32/32",,"
							  Slim Jeans",19.99,Black,0985197,001,2021-10-09 11:57:22
0,0985197002,"Cotton 99%, Elastane 1%",Slim fit,,"The model is 182cm/6'0"" and wears a size 31/32",,"
							  Slim Jeans",19.99,Midnight blue,0985197,002,2021-10-09 11:57:22
1,0985197002,"Polyester 65%, Cotton 35%",Slim fit,,"The model is 182cm/6'0"" and wears a size 31/32",,"
							  Slim Jeans",19.99,Midnight blue,0985197,002,2021-10-09 11:57:22
